Domain,Receive Time,Serial #,Type,Threat/Content Type,Config Version,Generate Time,Source address,Destination address,NAT Source IP,NAT Destination IP,Rule,Source User,Destination User,Application,Virtual System,Source Zone,Destination Zone,Inbound Interface,Outbound Interface,Log Action,Time Logged,Session ID,Repeat Count,Source Port,Destination Port,NAT Source Port,NAT Destination Port,Flags,IP Protocol,Action,URL,Threat/Content Name,Category,Severity,Direction
1,2011/01/25 01:15:25,0004C100832,THREAT,url,1,2011/01/25 01:15:24,10.10.9.42,75.126.182.187,193.189.142.3,75.126.182.187,URL_Default,tpe\nguser,,web-browsing,vsys1,LAN,Internet,ethernet1/6,ethernet1/1,,2011/01/25 01:15:25,18444,1,3850,80,9816,80,0x40,tcp,block-url,srv.sayyac.net/sa.js?_salogin=ztporno&_sav=4.3,(9999),malware-sites,informational,client-to-server
1,2011/01/25 01:26:40,0004C100832,THREAT,url,1,2011/01/25 01:26:39,10.10.9.42,75.126.182.187,193.189.142.3,75.126.182.187,URL_Default,tpe\guvenlik,,web-browsing,vsys1,LAN,Internet,ethernet1/6,ethernet1/1,,2011/01/25 01:26:40,29394,1,4125,80,63495,80,0x40,tcp,block-url,srv.sayyac.net/sa.js?_salogin=ztporno&_sav=4.3,(9999),malware-sites,informational,client-to-server
1,2011/01/25 01:30:38,0004C100832,THREAT,url,1,2011/01/25 01:30:37,10.10.9.206,75.126.182.187,193.189.142.3,75.126.182.187,URL_Default,tpe\nizamiye1,,web-browsing,vsys1,LAN,Internet,ethernet1/6,ethernet1/1,,2011/01/25 01:30:38,101293,1,4008,80,11080,80,0x40,tcp,block-url,srv.sayyac.net/sa.js?_salogin=filmizleocom&_sav=4.3,(9999),malware-sites,informational,client-to-server
1,2011/01/25 01:31:22,0004C100832,THREAT,url,1,2011/01/25 01:31:21,10.10.9.206,66.212.226.173,193.189.142.3,66.212.226.173,URL_Default,tpe\nizamiye1,,web-browsing,vsys1,LAN,Internet,ethernet1/6,ethernet1/1,,2011/01/25 01:31:22,15577,1,4124,80,16648,80,0x40,tcp,block-url,affiliates.smartliveaffiliates.com/processing/impressions.asp?b,(9999),online-gambling,informational,client-to-server
1,2011/01/25 01:31:23,0004C100832,THREAT,url,1,2011/01/25 01:31:22,10.10.9.206,75.126.182.187,193.189.142.3,75.126.182.187,URL_Default,tpe\nizamiye1,,web-browsing,vsys1,LAN,Internet,ethernet1/6,ethernet1/1,,2011/01/25 01:31:23,27185,1,4132,80,15296,80,0x40,tcp,block-url,srv.sayyac.net/sa.js?_salogin=xkimenet&_sav=4.3,(9999),malware-sites,informational,client-to-server
1,2011/01/25 01:31:40,0004C100832,THREAT,url,1,2011/01/25 01:31:39,10.10.9.206,66.212.226.173,193.189.142.3,66.212.226.173,URL_Default,tpe\nizamiye1,,web-browsing,vsys1,LAN,Internet,ethernet1/6,ethernet1/1,,2011/01/25 01:31:40,5950,1,4193,80,40128,80,0x40,tcp,block-url,affiliates.smartliveaffiliates.com/processing/impressions.asp?b,(9999),online-gambling,informational,client-to-server
1,2011/01/25 01:31:40,0004C100832,THREAT,url,1,2011/01/25 01:31:39,10.10.9.206,75.126.182.187,193.189.142.3,75.126.182.187,URL_Default,tpe\nizamiye1,,web-browsing,vsys1,LAN,Internet,ethernet1/6,ethernet1/1,,2011/01/25 01:31:40,26554,1,4209,80,40811,80,0x40,tcp,block-url,srv.sayyac.net/sa.js?_salogin=xkimenet&_sav=4.3,(9999),malware-sites,informational,client-to-server
1,2011/01/25 01:31:46,0004C100832,THREAT,url,1,2011/01/25 01:31:45,10.10.9.206,66.212.226.173,193.189.142.3,66.212.226.173,URL_Default,tpe\nizamiye1,,web-browsing,vsys1,LAN,Internet,ethernet1/6,ethernet1/1,,2011/01/25 01:31:46,5719,1,4253,80,34885,80,0x40,tcp,block-url,affiliates.smartliveaffiliates.com/processing/impressions.asp?b,(9999),online-gambling,informational,client-to-server
1,2011/01/25 01:31:47,0004C100832,THREAT,url,1,2011/01/25 01:31:46,10.10.9.206,75.126.182.187,193.189.142.3,75.126.182.187,URL_Default,tpe\nizamiye1,,web-browsing,vsys1,LAN,Internet,ethernet1/6,ethernet1/1,,2011/01/25 01:31:47,19711,1,4257,80,57760,80,0x40,tcp,block-url,srv.sayyac.net/sa.js?_salogin=xkimenet&_sav=4.3,(9999),malware-sites,informational,client-to-server
1,2011/01/25 01:32:02,0004C100832,THREAT,url,1,2011/01/25 01:32:01,10.10.9.206,66.212.226.173,193.189.142.3,66.212.226.173,URL_Default,tpe\nizamiye1,,web-browsing,vsys1,LAN,Internet,ethernet1/6,ethernet1/1,,2011/01/25 01:32:02,5519,1,4304,80,48087,80,0x40,tcp,block-url,affiliates.smartliveaffiliates.com/processing/impressions.asp?b,(9999),online-gambling,informational,client-to-server
1,2011/01/25 01:32:02,0004C100832,THREAT,url,1,2011/01/25 01:32:01,10.10.9.206,75.126.182.187,193.189.142.3,75.126.182.187,URL_Default,tpe\nizamiye1,,web-browsing,vsys1,LAN,Internet,ethernet1/6,ethernet1/1,,2011/01/25 01:32:02,28116,1,4306,80,11261,80,0x40,tcp,block-url,srv.sayyac.net/sa.js?_salogin=xkimenet&_sav=4.3,(9999),malware-sites,informational,client-to-server
1,2011/01/25 01:32:38,0004C100832,THREAT,url,1,2011/01/25 01:32:37,10.10.9.206,66.212.226.173,193.189.142.3,66.212.226.173,URL_Default,tpe\nizamiye1,,web-browsing,vsys1,LAN,Internet,ethernet1/6,ethernet1/1,,2011/01/25 01:32:38,24366,1,4380,80,39487,80,0x40,tcp,block-url,affiliates.smartliveaffiliates.com/processing/impressions.asp?b,(9999),online-gambling,informational,client-to-server
1,2011/01/25 01:32:38,0004C100832,THREAT,url,1,2011/01/25 01:32:37,10.10.9.206,75.126.182.187,193.189.142.3,75.126.182.187,URL_Default,tpe\nizamiye1,,web-browsing,vsys1,LAN,Internet,ethernet1/6,ethernet1/1,,2011/01/25 01:32:38,26746,1,4383,80,8123,80,0x40,tcp,block-url,srv.sayyac.net/sa.js?_salogin=xkimenet&_sav=4.3,(9999),malware-sites,informational,client-to-server
1,2011/01/25 01:33:00,0004C100832,THREAT,url,1,2011/01/25 01:32:59,10.10.9.206,66.212.226.173,193.189.142.3,66.212.226.173,URL_Default,tpe\nizamiye1,,web-browsing,vsys1,LAN,Internet,ethernet1/6,ethernet1/1,,2011/01/25 01:33:00,16658,1,4439,80,55104,80,0x40,tcp,block-url,affiliates.smartliveaffiliates.com/processing/impressions.asp?b,(9999),online-gambling,informational,client-to-server
1,2011/01/25 01:33:01,0004C100832,THREAT,url,1,2011/01/25 01:33:00,10.10.9.206,75.126.182.187,193.189.142.3,75.126.182.187,URL_Default,tpe\nizamiye1,,web-browsing,vsys1,LAN,Internet,ethernet1/6,ethernet1/1,,2011/01/25 01:33:01,26694,1,4471,80,7013,80,0x40,tcp,block-url,srv.sayyac.net/sa.js?_salogin=xkimenet&_sav=4.3,(9999),malware-sites,informational,client-to-server
1,2011/01/25 01:42:27,0004C100832,THREAT,url,1,2011/01/25 01:42:26,10.10.9.206,66.212.226.173,193.189.142.3,66.212.226.173,URL_Default,tpe\nizamiye1,,web-browsing,vsys1,LAN,Internet,ethernet1/6,ethernet1/1,,2011/01/25 01:42:27,23811,1,4713,80,58976,80,0x40,tcp,block-url,affiliates.smartliveaffiliates.com/processing/impressions.asp?b,(9999),online-gambling,informational,client-to-server
1,2011/01/25 01:42:27,0004C100832,THREAT,url,1,2011/01/25 01:42:26,10.10.9.206,75.126.182.187,193.189.142.3,75.126.182.187,URL_Default,tpe\nizamiye1,,web-browsing,vsys1,LAN,Internet,ethernet1/6,ethernet1/1,,2011/01/25 01:42:27,1892,1,4715,80,33789,80,0x40,tcp,block-url,srv.sayyac.net/sa.js?_salogin=xkimenet&_sav=4.3,(9999),malware-sites,informational,client-to-server
1,2011/01/25 01:43:09,0004C100832,THREAT,url,1,2011/01/25 01:43:08,10.10.9.206,66.212.226.173,193.189.142.3,66.212.226.173,URL_Default,tpe\nizamiye1,,web-browsing,vsys1,LAN,Internet,ethernet1/6,ethernet1/1,,2011/01/25 01:43:09,14355,1,4771,80,32039,80,0x40,tcp,block-url,affiliates.smartliveaffiliates.com/processing/impressions.asp?b,(9999),online-gambling,informational,client-to-server
1,2011/01/25 01:43:10,0004C100832,THREAT,url,1,2011/01/25 01:43:09,10.10.9.206,75.126.182.187,193.189.142.3,75.126.182.187,URL_Default,tpe\nizamiye1,,web-browsing,vsys1,LAN,Internet,ethernet1/6,ethernet1/1,,2011/01/25 01:43:10,33739,1,4809,80,4459,80,0x40,tcp,block-url,srv.sayyac.net/sa.js?_salogin=xkimenet&_sav=4.3,(9999),malware-sites,informational,client-to-server
1,2011/01/25 02:08:38,0004C100832,THREAT,url,1,2011/01/25 02:08:38,10.10.9.42,75.126.182.187,193.189.142.3,75.126.182.187,URL_Default,tpe\nguser,,web-browsing,vsys1,LAN,Internet,ethernet1/6,ethernet1/1,,2011/01/25 02:08:38,39943,1,4890,80,59316,80,0x40,tcp,block-url,srv.sayyac.net/sa.js?_salogin=ztporno&_sav=4.3,(9999),malware-sites,informational,client-to-server
